,KMeans,Birch,MeanShift
breast-cancer,0.062238929550122626,0.06680067962407388,0.0
balloons,0.5000000000000002,0.16666666666666693,2.357993277075591e-16
bc-wisc,0.7449619715405762,0.5754864170110441,0.5419143768655603
bc-wisc-prog,0.0030092813633584236,0.042744599878923845,-0.019259928141385156
bc-wisc-diag,0.5532462002173437,0.4832977471220899,0.13386369932287523
credit-approval,0.19102020112881613,0.13421765302075936,0.036098743294380356
horse-colic,0.08037934165926044,0.0397039357748776,-0.0009082880828230611
ionosphere,0.06721222144632845,0.08427858922156313,0.08168072102646115
mushroom,0.2034394548225456,0.5935037662863795,0.0
spambase,0.007044075489384336,0.0087848701242,0.042895929617669054
tic-tac-toe,0.006686716870403375,0.014189566120039823,0.0
congress-voting,0.4972265177547579,0.4509694895360147,0.4956566292916834
conn-bench-sonar,-0.01080486204601721,0.03272268933429099,0.0395467182197479
magic,0.0013831405306322388,0.049058149917524246,0.10618252343256024
mammographic,0.2901521811802259,-0.0005591552836378907,0.08576599447482994
ozone,0.031076979114872953,0.02382092984570978,0.005496159938102916
blood,0.00855533598938135,0.015653319702512464,0.028772795113635074
ac-inflam,0.14837049659747872,0.03388261621241329,-0.013232201111823123
acute-nephritis,0.39967177986846514,0.5295294605462046,0.40397596533242164
fertility,0.021108411114384662,0.01522846620843518,-0.006822503452248852
ilpd-indian-liver,0.035402827919859506,0.02737423875557023,0.01637072808009724
