,KNN,RandomForest,SVC
breast-cancer,0.7168916275430359,0.695862676056338,0.7447672143974962
balloons,0.6875,0.625,0.625
bc-wisc,0.9613628899835795,0.9670689655172413,0.9670771756978653
bc-wisc-prog,0.7570408163265305,0.8026530612244898,0.7674489795918368
bc-wisc-diag,0.9613414754259825,0.9630774155422043,0.970119669063331
credit-approval,0.843502150826724,0.8796797284581261,0.8507443876865171
horse-colic,0.8260869565217391,0.8668478260869565,0.8641304347826086
ionosphere,0.840549895506792,0.92587513061651,0.9458921107628004
mushroom,1.0,1.0,1.0
spambase,0.9043695463302233,0.9519655875797983,0.9308833528500737
tic-tac-toe,0.7107609832635984,0.9801385983263599,0.9780596234309624
congress-voting,0.9310440027183147,0.9678686714237174,0.9586731226639484
conn-bench-sonar,0.7884615384615385,0.8028846153846154,0.8413461538461539
magic,0.8354363827549948,0.8800210304942166,0.8687171398527865
mammographic,0.7835408022130014,0.7991398686030429,0.8126901798063624
ozone,0.9540436187720814,0.9599610906809348,0.9542420245543883
blood,0.766042780748663,0.7393048128342246,0.7740641711229946
ac-inflam,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0
fertility,0.88,0.89,0.88
ilpd-indian-liver,0.6535663675011809,0.7187293339631554,0.7135687293339632
