,KMeans,Birch,MeanShift
breast-cancer,0.0686352368224186,0.07191583418874123,1.0
balloons,0.6737416677638692,0.6336885465963442,0.6737416677638692
bc-wisc,0.7487297844561362,0.60122261218336,0.4253831707381566
bc-wisc-prog,0.019463281490877008,0.05891997393451815,0.07329507271945537
bc-wisc-diag,0.5671882345611212,0.49723543363131695,0.17912986809222484
credit-approval,0.21787273154521902,0.18558073941079886,0.13610604551481836
horse-colic,0.08752818080949419,0.04857868000272044,0.2952709475329577
ionosphere,0.15486448560765287,0.0904588861174582,0.17119868701309074
mushroom,0.22532478786684304,0.6082326781883356,1.0
spambase,0.31470841638348634,0.0837442134182632,0.07799679230857577
tic-tac-toe,0.00952569544378599,0.016889262428809153,1.0
congress-voting,0.4926152973239173,0.454570950344123,0.4912738688759528
conn-bench-sonar,0.00773004073033046,0.080025873329312,0.13729069181762638
magic,0.001509746794862744,0.11428617007741058,0.13889264294900236
mammographic,0.2931300242407542,0.7511376298212986,0.10759685850990852
ozone,0.020680427084652495,0.016359713143060804,0.010007632452263627
blood,0.012997068850260288,0.1383109036531778,0.07636856797419034
ac-inflam,0.1747473620594648,0.07645330419767643,0.2592335816743545
acute-nephritis,0.42367184973817884,0.5857382100557524,0.6894192817605324
fertility,0.0517175103769584,0.054513932400093265,0.7595864244639212
ilpd-indian-liver,0.06117410220899264,0.06079621445552722,0.06715791947205599
