,KNN,RandomForest,SVC
breast-cancer,0.8220790154638538,0.7963546509213566,0.8374187410263122
balloons,0.625,0.6,0.3333333333333333
bc-wisc,0.9704015526925474,0.9747534338570223,0.9744413343130143
bc-wisc-prog,0.847913401758452,0.8842609541714078,0.8639549734176839
bc-wisc-diag,0.9479635324157754,0.950091976912951,0.9599535260014009
credit-approval,0.8186245747764125,0.8647887541880419,0.8430756304039577
horse-colic,0.7580479748969534,0.8053227643144372,0.793821291580205
ionosphere,0.8866116407167094,0.9426761148638622,0.9584842784943337
mushroom,1.0,1.0,1.0
spambase,0.8764154007809778,0.9379060236071999,0.9098936301613897
tic-tac-toe,0.8177193997079838,0.9845787426563616,0.983060937765143
congress-voting,0.9125813525749858,0.9592353643966547,0.9468600883307863
conn-bench-sonar,0.7387259858442872,0.7587209302325582,0.8196246110503742
magic,0.880799180197366,0.910627751174895,0.904273692464785
mammographic,0.7565740186166938,0.7771054987135291,0.7975271700169001
ozone,0.9762557966887947,0.9790906441298174,0.9765662497304296
blood,0.38525699652460216,0.36619918699186993,0.2481611525729173
ac-inflam,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0
fertility,0.9349881796690307,0.9403079710144928,0.9359293092815295
ilpd-indian-liver,0.7629806503730816,0.8148217468805704,0.8324773141758794
