,KMeans,Birch,MeanShift
breast-cancer,0.07832083717898286,0.08399575424967964,0.0
balloons,0.6737416677638692,0.36558594106204145,0.1737416677638693
bc-wisc,0.7435366503838133,0.5587610393857405,0.8341188425525988
bc-wisc-prog,0.02274947309316544,0.06493733093401421,0.04684775279676901
bc-wisc-diag,0.5448675295081216,0.47596846139255916,0.1674251667122779
credit-approval,0.1765800822723172,0.116072558422873,0.04233599963173468
horse-colic,0.08865097833259646,0.04741470851351316,0.00759217242211941
ionosphere,0.07608138560076153,0.09420406188802459,0.18086563299742375
mushroom,0.18996779899280986,0.5797653789944446,0.0
spambase,0.00431504479799308,0.005487615524455806,0.09265490969855544
tic-tac-toe,0.010225668000134738,0.018208770065915616,0.0
congress-voting,0.5091452220767047,0.4551394949006101,0.5073589528742257
conn-bench-sonar,0.005510047528388234,0.03863829779562228,0.10476241222936597
magic,0.0015751095675527918,0.03194666940476853,0.09450740840202976
mammographic,0.29154907889628656,0.0004036314227345325,0.11106403258718417
ozone,0.0714327777342578,0.052606097222564714,0.015356730636901102
blood,0.014263674635392175,0.014069947346877115,0.036514802177038744
ac-inflam,0.1667595110323576,0.05297934876330377,0.007482016653638371
acute-nephritis,0.4081383330263597,0.5141259407827093,0.3922653453694334
fertility,0.10889894314601435,0.09591259896087351,0.007283236598425479
ilpd-indian-liver,0.0372660873627523,0.025742789865766676,0.06395720685802155
