,KNN,RandomForest,SVC
breast-cancer,0.7347727793040293,0.751574769438008,0.7572508061163064
balloons,0.5833333333333333,0.7083333333333334,0.375
bc-wisc,0.9717125627240316,0.9780905607510197,0.9822758973113943
bc-wisc-prog,0.8039004914004915,0.7987299568300956,0.778437243691803
bc-wisc-diag,0.9755801764906635,0.9665791080264764,0.9750841750841751
credit-approval,0.8454273504273504,0.866860130160442,0.7941263633501784
horse-colic,0.7811291048133153,0.8674428104575163,0.8897510147510147
ionosphere,0.8114415136593248,0.9352333871401668,0.9364137548254552
mushroom,1.0,1.0,1.0
spambase,0.8917181625987363,0.9537607910180821,0.9308745970856989
tic-tac-toe,0.6932861663619752,0.9700044874247167,0.9700934692458139
congress-voting,0.89699263502455,0.9432861677091015,0.9303207507409522
conn-bench-sonar,0.846875,0.8883605072463768,0.8695798319327731
magic,0.8304096010171098,0.8807033758157214,0.8575655417184269
mammographic,0.7906270409556284,0.7938461688340608,0.7952414268633118
ozone,0.9624378009775616,0.9751803164684343,0.9542325172034918
blood,0.5120846834647192,0.4393518518518519,0.6208333333333333
ac-inflam,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0
fertility,0.8879166666666667,0.8966666666666667,0.88
ilpd-indian-liver,0.7474058199067528,0.7694978349240014,0.7135687293339632
