,KMeans,Birch,MeanShift
breast-cancer,0.5342667113793874,0.5535993740219092,0.5812150681868992
balloons,0.75,0.5416666666666666,0.41666666666666663
bc-wisc,0.9229399090710632,0.8309858860825574,0.8670757519671213
bc-wisc-prog,0.5026530612244898,0.5341836734693878,0.5662329931972789
bc-wisc-diag,0.8331985165967785,0.8047307053150625,0.5730350460647134
credit-approval,0.6058071535427716,0.5639475924655031,0.5117471025549715
horse-colic,0.5287267080745341,0.5070473005255614,0.5237099856665074
ionosphere,0.5631606765327696,0.5634644358581808,0.5956401424023717
mushroom,0.5940835764856547,0.8044465950185912,0.5004962490267844
spambase,0.5206740062629126,0.5201208555200025,0.5042364812176894
tic-tac-toe,0.501461724857307,0.5212303540663127,0.5498176048662142
congress-voting,0.7890055128437191,0.7777976252854072,0.7919504860257669
conn-bench-sonar,0.49132730015082954,0.49811463046757165,0.4947209653092006
magic,0.5044711697758973,0.5402256199549929,0.5830489969816772
mammographic,0.6740469669612319,0.5024933158561781,0.546055450904819
ozone,0.5213113339969412,0.5779234367982877,0.81013958073382
blood,0.5627910988442297,0.6326260709562418,0.6061324823184406
ac-inflam,0.5781609195402299,0.5005747126436781,0.4850574712643678
acute-nephritis,0.7339080459770115,0.7528735632183907,0.710919540229885
fertility,0.4866666666666667,0.5283333333333333,0.7533333333333333
ilpd-indian-liver,0.5290525114155251,0.5419763291870047,0.5099597176297695
