,KNN,RandomForest,SVC
breast-cancer,0.936108971890643,0.8517791183559378,0.9415960723912207
balloons,0.75,0.625,0.375
bc-wisc,0.9692236309774998,0.971519392954544,0.9668716552559589
bc-wisc-prog,0.9019859548440685,0.9939024390243902,0.9743543758967002
bc-wisc-diag,0.9228956228956229,0.9343434343434343,0.9461700336700336
credit-approval,0.7958311139945132,0.8646991387806454,0.9003290879641606
horse-colic,0.7406954292752754,0.7558900701814913,0.7239959265076612
ionosphere,0.97756734006734,0.9523538961038961,0.9821969696969697
mushroom,1.0,1.0,1.0
spambase,0.8618018256264122,0.9227193762023325,0.8900266911810563
tic-tac-toe,1.0,1.0,0.9965502474305291
congress-voting,0.9290222287504897,0.9758821321321322,0.9640765765765766
conn-bench-sonar,0.6746589079197776,0.679086517347387,0.7950453813497291
magic,0.9377298925061519,0.9426754846450343,0.9563792140142927
mammographic,0.7273128376784259,0.7626821508476811,0.8029766723187585
ozone,0.9905098071492953,0.9830554721968068,1.0
blood,0.31068840579710144,0.3208786231884058,0.16719504830917875
ac-inflam,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0
fertility,0.9880952380952381,0.9886363636363636,1.0
ilpd-indian-liver,0.7829000644048407,0.8684603189615958,1.0
