,KMeans,Birch,MeanShift
breast-cancer,0.07295608851161785,0.07736444440285427,0.0
balloons,0.6718555092427254,0.3736941645686209,0.17185550924272538
bc-wisc,0.7461157618423698,0.5775274085982862,0.562360140519656
bc-wisc-prog,0.020931488434178986,0.06159758567619475,0.05336671029793222
bc-wisc-diag,0.5557261220507252,0.4861911722685596,0.17238803565271407
credit-approval,0.19487077631945932,0.13899687867544988,0.06203144795765951
horse-colic,0.08806290643465448,0.04794406811779545,0.012779369136118395
ionosphere,0.08146893174638932,0.09229314849434446,0.17349066607437932
mushroom,0.20375370335346205,0.5936518938427895,0.0
spambase,0.008043494861254923,0.010160478938683536,0.08449276550963589
tic-tac-toe,0.009856739298995342,0.017490353328793163,0.0
congress-voting,0.5007035497285145,0.45483138564605097,0.4991468204625582
conn-bench-sonar,0.006375199740354734,0.051630823029267,0.11625432373210866
magic,0.001541727956909396,0.04925555571084854,0.11242482847214129
mammographic,0.29232031335755987,0.0005958537465256711,0.10300149832746532
ozone,0.032001485550953786,0.0248311993999503,0.012092776797564219
blood,0.013570018762640437,0.024849559777019477,0.045855655978657615
ac-inflam,0.1706505781138058,0.06239544257920017,0.008263129445046327
acute-nephritis,0.41550054542770504,0.544363969955865,0.4139461905681291
fertility,0.06982334355089032,0.06915054338205262,0.008277605251893541
ilpd-indian-liver,0.04286896075829865,0.03590644663155633,0.0647882652277376
